['2021-12-31', '15-04-20', 'Оболенск через бумажку всё чисто'],
['2021-04-14', '13-08-10', 'авария заняли полдороги'],
['2021-04-14', '14-19-27', 'по Москву 2 Московский едет в сторону Московский сторону б-класс'],
['2021-04-14', '14-40-09', 'возле бабули Экипаж работает'],
['2021-04-14', '15-05-06', '58 Художники рисуют размер'],
['2021-04-14', '15-17-40', 'стоит Экипаж но смотрит на пешехода'],
['2021-04-14', '15-26-28', 'дисконто equipage работает пешеход никополи'],
['2021-04-14', '15-42-46', 'с Лермонтовым центральную стоит Экипаж и скорая и машинка Kia Ceed с разбитым лобовым стеклом ведьма сбил'],
['2021-04-14', '15-47-31', 'где пивной этот бар-ресторан как он там называется Экипаж стоит'],
['2021-04-14', '16-07-12', 'штрафстоянки Экипаж стоит'],
['2021-04-14', '16-35-17', 'Скажите где это штрафстоянка'],
['2021-04-14', '16-37-04', '8 батальона'],
['2021-04-14', '16-37-59', 'понял'],
['2021-04-14', '16-38-31', 'на остановке где пивной бар в заведении чисто уехал'],
['2021-04-14', '16-43-04', 'Экипаж переместился на пешеходный мост в сторону бумажке'],
['2021-04-14', '16-43-48', '8 батальон чисто'],
['2021-04-14', '16-50-51', '108-я площадка поворот на Фирсова актуально'],
['2021-04-14', '16-55-59', 'маленькая пробочка со стороны плоского моста до развилки как на Пущино липицы там сужение дороги идёт в сторону Тулы'],
['2021-04-14', '17-29-36', 'Весенняя Горького ДТП в сторону 8 медсанчасть на перекрёстке'],
['2021-04-14', '18-00-33', 'платформа Авангард Экипаж работает'],
